station_id,actual,idw_pred,idw_abs_error,nearest_pred,nearest_abs_error
caaqm_1556,82.6,93.7,11.1,75.1,7.5
caaqm_1557,86.2,62.3,23.9,62.3,23.9
caaqm_1558,93.4,89.5,3.9,145.4,52.0
caaqm_1560,308.0,258.2,49.8,159.7,148.3
caaqm_1561,315.8,260.8,55.0,293.7,22.1
caaqm_1562,318.3,262.0,56.3,137.9,180.4
caaqm_1563,298.5,171.9,126.6,171.9,126.6
caaqm_1565,101.7,62.2,39.5,61.9,39.8
caaqm_1569,265.3,243.2,22.1,237.6,27.7
caaqm_157,211.3,210.0,1.3,210.0,1.3
caaqm_158,221.3,219.8,1.5,219.8,1.5
caaqm_159,232.4,224.1,8.3,227.5,4.9
caaqm_161,213.6,183.8,29.8,187.1,26.5
caaqm_162,145.4,79.1,66.3,75.1,70.3
caaqm_163,154.2,71.3,82.9,62.8,91.4
caaqm_164,177.8,78.0,99.8,93.4,84.4
caaqm_165,81.1,73.2,7.9,76.7,4.4
caaqm_166,76.7,79.1,2.4,81.1,4.4
caaqm_168,122.6,129.6,7.0,129.7,7.1
caaqm_198,139.7,132.0,7.7,129.1,10.6
caaqm_199,145.2,100.0,45.2,116.7,28.5
caaqm_251,92.1,114.7,22.6,116.7,24.6
caaqm_252,40.5,36.9,3.6,33.5,7.0
caaqm_253,137.9,121.4,16.5,107.5,30.4
caaqm_254,208.5,169.2,39.3,167.6,40.9
caaqm_255,145.6,143.6,2.0,128.4,17.2
caaqm_256,181.6,174.1,7.5,173.9,7.7
caaqm_258,100.5,96.0,4.5,95.6,4.9
caaqm_260,97.6,91.2,6.4,86.9,10.7
caaqm_261,110.1,129.2,19.1,120.5,10.4
caaqm_262,75.8,103.4,27.6,105.1,29.3
caaqm_263,247.9,214.1,33.8,230.4,17.5
caaqm_271,118.7,146.7,28.0,137.0,18.3
caaqm_272,161.7,179.9,18.2,147.5,14.2
caaqm_273,245.4,222.3,23.1,205.6,39.8
caaqm_274,194.0,142.1,51.9,173.8,20.2
caaqm_275,103.8,102.9,0.9,92.1,11.7
caaqm_276,262.6,231.9,30.7,229.2,33.4
caaqm_277,147.5,179.3,31.8,230.8,83.3
caaqm_288,165.9,81.5,84.4,84.4,81.5
caaqm_292,141.6,107.4,34.2,101.7,39.9
caaqm_293,148.1,89.9,58.2,71.2,76.9
caaqm_294,123.2,94.9,28.3,93.9,29.3
caaqm_295,137.2,109.0,28.2,107.9,29.3
caaqm_296,165.1,145.0,20.1,173.8,8.7
caaqm_297,136.8,179.8,43.0,147.5,10.7
caaqm_298,74.2,95.3,21.1,95.3,21.1
caaqm_299,195.4,167.4,28.0,165.5,29.9
caaqm_300,180.7,160.6,20.1,161.7,19.0
caaqm_301,316.4,336.2,19.8,336.7,20.3
caaqm_302,122.7,135.4,12.7,135.4,12.7
caaqm_303,127.7,208.1,80.4,274.9,147.2
caaqm_304,126.3,108.1,18.2,107.7,18.6
caaqm_305,137.2,131.1,6.1,134.2,3.0
caaqm_306,149.4,71.2,78.2,66.0,83.4
caaqm_307,288.9,234.8,54.1,226.3,62.6
caaqm_308,174.4,143.9,30.5,147.4,27.0
caaqm_309,199.6,167.0,32.6,167.8,31.8
caaqm_5023,256.2,216.8,39.4,204.7,51.5
caaqm_5024,320.2,262.0,58.2,288.9,31.3
caaqm_5025,159.7,234.6,74.9,233.6,73.9
caaqm_5039,220.0,203.9,16.1,203.6,16.4
caaqm_5040,171.2,143.8,27.4,143.3,27.9
caaqm_5041,221.1,240.0,18.9,209.7,11.4
caaqm_5042,113.9,173.8,59.9,173.8,59.9
caaqm_5043,208.5,191.6,16.9,191.5,17.0
caaqm_5044,229.4,214.4,15.0,214.5,14.9
caaqm_5045,230.1,210.3,19.8,205.2,24.9
caaqm_5046,230.1,208.3,21.8,207.0,23.1
caaqm_5047,238.3,189.1,49.2,187.8,50.5
caaqm_5048,217.6,229.2,11.6,208.9,8.7
caaqm_5049,226.5,219.1,7.4,218.6,7.9
caaqm_5050,220.5,208.9,11.6,207.2,13.3
caaqm_5051,245.2,215.8,29.4,215.8,29.4
caaqm_5052,214.9,208.8,6.1,208.8,6.1
caaqm_5053,211.0,210.5,0.5,209.9,1.1
caaqm_5054,229.6,200.3,29.3,199.7,29.9
caaqm_5055,230.8,235.9,5.1,158.6,72.2
caaqm_5056,225.1,212.0,13.1,210.1,15.0
caaqm_5057,216.7,203.9,12.8,202.4,14.3
caaqm_5060,234.1,191.3,42.8,189.7,44.4
caaqm_5065,164.4,164.2,0.2,164.3,0.1
caaqm_5066,172.8,147.0,25.8,150.1,22.7
caaqm_5067,172.1,146.5,25.6,145.7,26.4
caaqm_5068,127.4,213.2,85.8,216.2,88.8
caaqm_5071,165.7,146.6,19.1,146.7,19.0
caaqm_5072,197.1,192.9,4.2,191.8,5.3
caaqm_5073,81.3,96.4,15.1,102.6,21.3
caaqm_5081,267.6,219.0,48.6,209.9,57.7
caaqm_5082,283.6,244.7,38.9,257.8,25.8
caaqm_5083,248.0,262.2,14.2,321.2,73.2
caaqm_5092,87.9,96.6,8.7,66.0,21.9
caaqm_5094,95.9,71.3,24.6,70.0,25.9
caaqm_5101,173.8,154.3,19.5,194.0,20.2
caaqm_5102,137.4,130.9,6.5,125.5,11.9
caaqm_5103,137.1,127.4,9.7,129.6,7.5
caaqm_5104,146.6,124.1,22.5,112.1,34.5
caaqm_5105,24.9,48.8,23.9,47.8,22.9
caaqm_5106,132.1,133.4,1.3,138.6,6.5
caaqm_5107,142.2,128.8,13.4,141.8,0.4
caaqm_5109,260.0,227.1,32.9,234.2,25.8
caaqm_5110,212.3,146.0,66.3,167.8,44.5
caaqm_5111,212.7,159.6,53.1,159.3,53.4
caaqm_5112,121.8,133.0,11.2,144.4,22.6
caaqm_5113,134.6,129.0,5.6,125.5,9.1
caaqm_5114,120.5,126.2,5.7,110.1,10.4
caaqm_5115,131.0,132.5,1.5,133.1,2.1
caaqm_5118,129.1,134.7,5.6,135.6,6.5
caaqm_5119,151.4,128.5,22.9,140.9,10.5
caaqm_5120,107.1,132.6,25.5,131.7,24.6
caaqm_5121,194.1,239.7,45.6,280.4,86.3
caaqm_5122,280.4,231.6,48.8,218.0,62.4
caaqm_5123,256.5,262.1,5.6,278.6,22.1
caaqm_5124,56.7,80.1,23.4,59.6,2.9
caaqm_5125,84.4,75.9,8.5,54.2,30.2
caaqm_5126,200.4,166.5,33.9,212.7,12.3
caaqm_5127,144.0,148.1,4.1,152.5,8.5
caaqm_5128,254.3,190.5,63.8,254.9,0.6
caaqm_5129,208.5,134.0,74.5,156.4,52.1
caaqm_5131,134.4,126.5,7.9,96.4,38.0
caaqm_5238,215.2,144.7,70.5,167.8,47.4
caaqm_5247,181.3,165.8,15.5,163.6,17.7
caaqm_5248,184.1,198.1,14.0,252.7,68.6
caaqm_5249,149.9,155.6,5.7,152.8,2.9
caaqm_5250,178.2,176.6,1.6,179.0,0.8
caaqm_5254,66.5,88.2,21.7,88.0,21.5
caaqm_5255,100.1,70.3,29.8,68.6,31.5
caaqm_5257,250.9,229.0,21.9,208.5,42.4
caaqm_5258,234.2,231.6,2.6,260.0,25.8
caaqm_5261,253.0,214.8,38.2,211.3,41.7
caaqm_5262,244.6,216.1,28.5,211.3,33.3
caaqm_5263,241.1,226.2,14.9,244.6,3.5
caaqm_5264,89.6,80.7,8.9,79.7,9.9
caaqm_5265,81.8,67.3,14.5,66.7,15.1
caaqm_5266,80.6,93.8,13.2,84.8,4.2
caaqm_5267,58.9,70.5,11.6,69.3,10.4
caaqm_5269,180.2,161.2,19.0,157.3,22.9
caaqm_5270,29.6,53.0,23.4,51.5,21.9
caaqm_5271,52.4,50.3,2.1,50.2,2.2
caaqm_5272,59.3,48.4,10.9,51.5,7.8
caaqm_5273,177.9,155.6,22.3,159.5,18.4
caaqm_5274,142.5,154.3,11.8,159.8,17.3
caaqm_5275,128.2,165.9,37.7,159.5,31.3
caaqm_5276,49.9,28.6,21.3,28.6,21.3
caaqm_5331,55.0,38.6,16.4,33.5,21.5
caaqm_5334,62.5,37.6,24.9,37.4,25.1
caaqm_5335,237.1,228.5,8.6,253.0,15.9
caaqm_5336,240.7,228.5,12.2,241.1,0.4
caaqm_5337,310.5,244.2,66.3,261.3,49.2
caaqm_5338,240.5,238.6,1.9,265.0,24.5
caaqm_5339,223.0,224.4,1.4,190.6,32.4
caaqm_5340,300.7,223.3,77.4,247.9,52.8
caaqm_5341,214.1,233.9,19.8,230.4,16.3
caaqm_5342,212.1,240.7,28.6,300.7,88.6
caaqm_5344,233.6,167.5,66.1,159.7,73.9
caaqm_5345,224.7,225.4,0.7,218.2,6.5
caaqm_5346,131.6,99.5,32.1,99.4,32.2
caaqm_5361,73.6,84.5,10.9,82.2,8.6
caaqm_5362,94.1,91.5,2.6,87.9,6.2
caaqm_5363,94.6,92.7,1.9,71.2,23.4
caaqm_5364,65.0,79.5,14.5,77.2,12.2
caaqm_5365,80.0,85.9,5.9,65.0,15.0
caaqm_5367,115.8,82.9,32.9,40.5,75.3
caaqm_5370,235.8,222.6,13.2,221.3,14.5
caaqm_5375,126.8,142.9,16.1,128.5,1.7
caaqm_5377,135.0,134.4,0.6,133.8,1.2
caaqm_5390,84.4,63.7,20.7,24.9,59.5
caaqm_5391,78.7,81.5,2.8,49.9,28.8
caaqm_5392,129.7,126.9,2.8,122.6,7.1
caaqm_5393,158.3,276.2,117.9,323.0,164.7
caaqm_5394,132.6,129.5,3.1,131.0,1.6
caaqm_5395,115.9,263.9,148.0,162.1,46.2
caaqm_5396,141.9,128.6,13.3,151.4,9.5
caaqm_5397,144.4,130.2,14.2,134.2,10.2
caaqm_5398,137.6,124.9,12.7,131.7,5.9
caaqm_5399,141.8,132.0,9.8,138.6,3.2
caaqm_5400,125.5,134.9,9.4,134.6,9.1
caaqm_5401,125.3,127.8,2.5,129.6,4.3
caaqm_5402,125.5,132.8,7.3,144.1,18.6
caaqm_5403,133.1,130.7,2.4,131.0,2.1
caaqm_5404,133.2,119.3,13.9,83.3,49.9
caaqm_5405,133.5,129.4,4.1,144.5,11.0
caaqm_5406,144.5,122.9,21.6,133.5,11.0
caaqm_5407,149.9,85.6,64.3,83.3,66.6
caaqm_5408,126.3,118.3,8.0,86.0,40.3
caaqm_5409,136.2,101.7,34.5,95.7,40.5
caaqm_5410,120.9,113.4,7.5,101.7,19.2
caaqm_5412,144.1,131.2,12.9,134.6,9.5
caaqm_5413,134.2,134.6,0.4,144.4,10.2
caaqm_5414,82.4,104.9,22.5,66.5,15.9
caaqm_5415,65.9,104.2,38.3,107.2,41.3
caaqm_5416,132.5,259.9,127.4,261.0,128.5
caaqm_5417,102.6,80.8,21.8,81.3,21.3
caaqm_5418,89.9,113.3,23.4,100.9,11.0
caaqm_5419,107.2,97.1,10.1,87.7,19.5
caaqm_5420,73.4,100.1,26.7,84.8,11.4
caaqm_5421,86.5,90.3,3.8,79.1,7.4
caaqm_5422,84.8,96.4,11.6,73.4,11.4
caaqm_5423,136.1,98.5,37.6,148.1,12.0
caaqm_5424,146.9,207.1,60.2,173.9,27.0
caaqm_5433,79.1,95.5,16.4,86.5,7.4
caaqm_5446,149.0,156.4,7.4,126.8,22.2
caaqm_5448,84.6,85.8,1.2,81.8,2.8
caaqm_5449,131.4,152.7,21.3,155.8,24.4
caaqm_5450,122.5,153.9,31.4,171.2,48.7
caaqm_5451,134.5,151.6,17.1,147.4,12.9
caaqm_5452,117.1,154.8,37.7,156.2,39.1
caaqm_5453,121.6,152.2,30.6,153.3,31.7
caaqm_5454,152.2,142.1,10.1,142.5,9.7
caaqm_5455,119.9,145.2,25.3,155.8,35.9
caaqm_5456,167.6,142.9,24.7,153.3,14.3
caaqm_5457,144.9,155.4,10.5,172.8,27.9
caaqm_5458,116.4,152.8,36.4,172.8,56.4
caaqm_5459,252.0,250.8,1.2,245.9,6.1
caaqm_5460,231.8,176.5,55.3,136.8,95.0
caaqm_5461,272.9,244.2,28.7,252.0,20.9
caaqm_5462,254.9,191.6,63.3,254.3,0.6
caaqm_5463,263.9,261.0,2.9,276.5,12.6
caaqm_5464,258.1,256.8,1.3,288.9,30.8
caaqm_5465,276.5,254.3,22.2,263.9,12.6
caaqm_5468,182.4,232.1,49.7,228.5,46.1
caaqm_5469,228.5,234.2,5.7,268.3,39.8
caaqm_5472,233.2,216.7,16.5,258.8,25.6
caaqm_5474,261.0,140.6,120.4,132.5,128.5
caaqm_5475,268.3,216.4,51.9,228.5,39.8
caaqm_5476,263.5,223.7,39.8,234.3,29.2
caaqm_5477,231.4,224.9,6.5,229.4,2.0
caaqm_5478,234.3,228.2,6.1,263.5,29.2
caaqm_5479,227.8,222.1,5.7,221.3,6.5
caaqm_5480,250.0,253.1,3.1,254.0,4.0
caaqm_5481,232.4,230.7,1.7,246.6,14.2
caaqm_5482,254.8,239.5,15.3,226.3,28.5
caaqm_5483,248.2,239.1,9.1,263.9,15.7
caaqm_5484,245.9,254.1,8.2,252.0,6.1
caaqm_5485,246.7,220.6,26.1,255.0,8.3
caaqm_5489,246.6,227.4,19.2,232.4,14.2
caaqm_5490,224.9,221.7,3.2,235.8,10.9
caaqm_5491,152.5,131.9,20.6,130.6,21.9
caaqm_5500,255.7,234.1,21.6,229.2,26.5
caaqm_5501,192.1,249.9,57.8,226.3,34.2
caaqm_5503,149.0,180.5,31.5,130.0,19.0
caaqm_5536,130.0,173.7,43.7,149.0,19.0
caaqm_5537,247.1,251.4,4.3,273.7,26.6
caaqm_5538,226.8,229.3,2.5,242.5,15.7
caaqm_5539,254.2,211.4,42.8,241.1,13.1
caaqm_5540,235.8,222.1,13.7,224.9,10.9
caaqm_5541,228.0,227.3,0.7,226.8,1.2
caaqm_5542,251.9,215.7,36.2,195.1,56.8
caaqm_5543,226.8,228.2,1.4,228.0,1.2
caaqm_5544,255.0,223.0,32.0,246.7,8.3
caaqm_5545,242.5,228.0,14.5,226.8,15.7
caaqm_5546,220.3,216.0,4.3,252.4,32.1
caaqm_5547,241.1,205.4,35.7,254.2,13.1
caaqm_5548,265.0,227.1,37.9,232.4,32.6
caaqm_5549,252.4,222.4,30.0,228.0,24.4
caaqm_5550,195.1,231.3,36.2,251.9,56.8
caaqm_5551,233.4,219.4,14.0,224.9,8.5
caaqm_5552,229.4,227.5,1.9,231.4,2.0
caaqm_5553,258.8,225.1,33.7,242.5,16.3
caaqm_5554,252.1,256.0,3.9,273.7,21.6
caaqm_5555,255.0,233.4,21.6,207.9,47.1
caaqm_5556,235.0,249.3,14.3,243.2,8.2
caaqm_5582,153.7,150.0,3.7,144.0,9.7
caaqm_5583,266.1,204.3,61.8,177.9,88.2
caaqm_5584,254.0,249.3,4.7,250.0,4.0
caaqm_5585,234.0,253.5,19.5,237.6,3.6
caaqm_5586,140.6,173.9,33.3,144.0,3.4
caaqm_5587,133.8,135.6,1.8,135.0,1.2
caaqm_5590,119.4,188.3,68.9,159.6,40.2
caaqm_5591,81.6,129.3,47.7,128.5,46.9
caaqm_5592,128.5,84.0,44.5,81.6,46.9
caaqm_5593,160.2,96.7,63.5,96.4,63.8
caaqm_5594,93.5,228.7,135.2,230.1,136.6
caaqm_5595,104.1,90.5,13.6,138.6,34.5
caaqm_5596,110.8,99.4,11.4,99.2,11.6
caaqm_5597,100.9,103.9,3.0,103.8,2.9
caaqm_5598,126.4,94.2,32.2,93.9,32.5
caaqm_5599,124.3,102.7,21.6,93.9,30.4
caaqm_5600,99.2,101.1,1.9,110.8,11.6
caaqm_5601,262.7,232.1,30.6,262.1,0.6
caaqm_5602,116.7,94.1,22.6,92.1,24.6
caaqm_5603,247.2,241.9,5.3,253.9,6.7
caaqm_5604,92.2,97.8,5.6,105.1,12.9
caaqm_5613,262.1,243.7,18.4,252.1,10.0
caaqm_5620,273.7,246.3,27.4,252.1,21.6
chennai_anna_nagar,82.2,79.1,3.1,73.6,8.6
chennai_guindy,84.4,116.4,32.0,165.9,81.5
chennai_manali,66.0,128.0,62.0,149.4,83.4
chennai_us_consulate,79.8,84.1,4.3,77.2,2.6
chennai_velachery,71.2,104.2,33.0,84.4,13.2
cpcb_AP001,89.5,100.7,11.2,100.7,11.2
cpcb_AP002,99.3,92.4,6.9,90.0,9.3
cpcb_AP003,95.6,99.9,4.3,100.5,4.9
cpcb_AP004,79.3,98.6,19.3,100.7,21.4
cpcb_AP005,86.9,101.2,14.3,97.6,10.7
cpcb_AS001,78.3,95.9,17.6,102.6,24.3
cpcb_BR001,227.5,226.5,1.0,232.4,4.9
cpcb_BR002,220.6,230.0,9.4,232.4,11.8
cpcb_BR003,261.3,262.4,1.1,310.5,49.2
cpcb_BR004,219.8,221.3,1.5,221.3,1.5
cpcb_BR005,210.0,210.2,0.2,211.3,1.3
cpcb_BR006,214.9,209.4,5.5,211.3,3.6
cpcb_BR007,206.8,210.8,3.9,211.3,4.5
cpcb_BR008,221.7,208.3,13.4,211.3,10.4
cpcb_BR009,203.8,211.2,7.4,211.3,7.5
cpcb_BR010,202.8,211.4,8.6,211.3,8.5
cpcb_CH001,130.6,152.6,22.0,152.5,21.9
cpcb_DL001,277.5,289.2,11.7,286.5,9.0
cpcb_DL002,286.5,289.0,2.5,277.5,9.0
cpcb_DL003,292.0,288.8,3.2,277.5,14.5
cpcb_DL004,278.6,289.2,10.6,277.5,1.1
cpcb_DL005,275.7,289.3,13.6,277.5,1.8
cpcb_DL006,283.0,289.1,6.1,277.5,5.5
cpcb_DL007,284.7,289.0,4.3,277.5,7.2
cpcb_DL008,300.7,288.6,12.1,277.5,23.2
cpcb_DL009,303.0,288.5,14.5,277.5,25.5
cpcb_DL010,284.6,289.0,4.4,277.5,7.1
cpcb_DL011,276.4,289.3,12.9,277.5,1.1
cpcb_DL012,294.3,288.8,5.5,277.5,16.8
cpcb_DL013,243.9,290.1,46.2,277.5,33.6
cpcb_DL014,300.4,288.6,11.8,277.5,22.9
cpcb_DL015,303.1,288.5,14.6,277.5,25.6
cpcb_DL016,303.3,288.5,14.8,277.5,25.8
cpcb_DL017,288.3,288.9,0.6,277.5,10.8
cpcb_DL018,304.8,288.5,16.3,277.5,27.3
cpcb_DL019,288.6,288.9,0.3,277.5,11.1
cpcb_DL020,277.1,289.2,12.1,277.5,0.4
cpcb_DL021,288.5,288.9,0.4,277.5,11.0
cpcb_DL022,274.4,289.3,14.9,277.5,3.1
cpcb_DL023,286.9,289.0,2.1,277.5,9.4
cpcb_DL024,274.7,289.3,14.6,277.5,2.8
cpcb_DL025,288.1,288.9,0.8,277.5,10.6
cpcb_DL026,307.6,288.4,19.2,277.5,30.1
cpcb_DL027,308.9,288.4,20.5,277.5,31.4
cpcb_DL028,307.7,288.4,19.3,277.5,30.2
cpcb_DL029,300.8,288.6,12.2,277.5,23.3
cpcb_DL030,292.8,288.8,4.0,277.5,15.3
cpcb_DL031,291.2,288.9,2.3,277.5,13.7
cpcb_DL032,297.5,288.7,8.8,277.5,20.0
cpcb_DL033,299.9,288.6,11.3,277.5,22.4
cpcb_DL034,286.4,289.0,2.6,277.5,8.9
cpcb_DL035,285.8,289.0,3.2,277.5,8.3
cpcb_DL036,277.3,289.2,11.9,277.5,0.2
cpcb_DL037,282.3,289.1,6.8,277.5,4.8
cpcb_DL038,281.5,289.1,7.6,277.5,4.0
cpcb_GJ001,156.2,129.7,26.5,117.1,39.1
cpcb_GJ002,164.3,164.3,0.0,164.4,0.1
cpcb_GJ003,150.1,164.3,14.2,172.8,22.7
cpcb_GJ004,159.8,150.6,9.2,142.5,17.3
cpcb_GJ005,146.7,165.4,18.7,165.7,19.0
cpcb_GJ006,145.7,162.5,16.8,172.1,26.4
cpcb_HR001,208.8,214.9,6.1,214.9,6.1
cpcb_HR002,205.2,232.6,27.4,230.1,24.9
cpcb_HR003,189.7,234.2,44.5,234.1,44.4
cpcb_HR004,187.8,238.1,50.3,238.3,50.5
cpcb_HR005,214.5,228.6,14.1,229.4,14.9
cpcb_HR006,230.4,202.4,28.0,204.5,25.9
cpcb_HR007,204.5,211.1,6.6,230.4,25.9
cpcb_HR008,196.9,213.6,16.7,230.4,33.5
cpcb_HR009,205.9,210.6,4.7,230.4,24.5
cpcb_HR010,199.7,229.4,29.7,229.6,29.9
cpcb_HR011,188.1,204.7,16.6,207.9,19.8
cpcb_HR012,207.9,198.1,9.8,188.1,19.8
cpcb_HR013,201.9,200.1,1.8,188.1,13.8
cpcb_HR014,204.3,199.3,5.0,188.1,16.2
cpcb_HR015,202.4,217.3,14.9,216.7,14.3
cpcb_HR016,210.1,225.6,15.5,225.1,15.0
cpcb_HR017,191.8,198.0,6.2,197.1,5.3
cpcb_HR018,218.6,226.6,8.0,226.5,7.9
cpcb_HR019,191.5,208.5,17.0,208.5,17.0
cpcb_HR020,196.6,242.9,46.3,209.7,13.1
cpcb_HR021,203.6,220.1,16.5,220.0,16.4
cpcb_HR022,209.9,211.6,1.7,211.0,1.1
cpcb_HR023,207.2,221.5,14.3,220.5,13.3
cpcb_HR024,187.1,208.7,21.6,213.6,26.5
cpcb_HR025,208.9,234.5,25.6,217.6,8.7
cpcb_HR026,168.2,242.6,74.4,196.6,28.4
cpcb_HR027,215.8,245.1,29.3,245.2,29.4
cpcb_HR028,209.7,238.4,28.7,221.1,11.4
cpcb_HR029,207.0,229.1,22.1,230.1,23.1
cpcb_JH001,167.6,207.2,39.6,208.5,40.9
cpcb_KA001,79.7,90.2,10.5,89.6,9.9
cpcb_KA002,55.4,69.6,14.2,61.2,5.8
cpcb_KA003,61.2,68.9,7.7,55.4,5.8
cpcb_KA004,62.9,68.7,5.8,55.4,7.5
cpcb_KA005,71.8,67.8,4.0,55.4,16.4
cpcb_KA006,60.7,69.0,8.3,55.4,5.3
cpcb_KA007,66.1,68.4,2.3,55.4,10.7
cpcb_KA008,81.8,66.6,15.2,55.4,26.4
cpcb_KA009,76.3,67.3,9.0,55.4,20.9
cpcb_KA010,88.1,65.9,22.2,55.4,32.7
cpcb_KA011,57.3,69.4,12.1,55.4,1.9
cpcb_KA012,59.6,82.1,22.5,54.2,5.4
cpcb_KA013,62.3,86.2,23.9,86.2,23.9
cpcb_KA014,66.7,82.0,15.3,81.8,15.1
cpcb_KA015,87.2,87.9,0.7,87.7,0.5
cpcb_KA016,61.9,101.8,39.9,101.7,39.8
cpcb_KA017,54.2,84.0,29.8,84.4,30.2
cpcb_KA018,68.6,98.6,30.0,100.1,31.5
cpcb_KA019,69.3,60.4,8.9,58.9,10.4
cpcb_KA020,88.0,66.9,21.1,66.5,21.5
cpcb_KL001,47.8,34.7,13.1,24.9,22.9
cpcb_KL002,51.5,48.4,3.1,59.3,7.8
cpcb_KL003,28.6,49.9,21.3,49.9,21.3
cpcb_KL004,61.4,47.9,13.5,59.3,2.1
cpcb_KL005,37.4,62.5,25.1,62.5,25.1
cpcb_KL006,50.2,52.5,2.3,52.4,2.2
cpcb_KL007,33.5,39.7,6.2,39.7,6.2
cpcb_KL008,39.7,33.5,6.2,33.5,6.2
cpcb_MH001,129.1,140.4,11.3,139.7,10.6
